PING fe80::e6f8:9cff:fe4a:1285(fe80::e6f8:9cff:fe4a:1285) from fe80::e6f8:9cff:fe4a:1276 wlan0: 56 data bytes
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=1 ttl=64 time=3.00 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=2 ttl=64 time=54.2 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=3 ttl=64 time=178 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=4 ttl=64 time=3.83 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=5 ttl=64 time=7.65 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=6 ttl=64 time=41.5 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=7 ttl=64 time=3.91 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=8 ttl=64 time=86.7 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=9 ttl=64 time=5.09 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=10 ttl=64 time=28.7 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=11 ttl=64 time=2.55 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=12 ttl=64 time=72.6 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=13 ttl=64 time=2.50 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=14 ttl=64 time=2.69 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=15 ttl=64 time=2.55 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=16 ttl=64 time=60.6 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=17 ttl=64 time=80.9 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=18 ttl=64 time=205 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=19 ttl=64 time=23.2 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=20 ttl=64 time=147 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=21 ttl=64 time=1.78 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=22 ttl=64 time=1.76 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=23 ttl=64 time=10.5 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=24 ttl=64 time=1.67 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=25 ttl=64 time=54.3 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=26 ttl=64 time=177 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=27 ttl=64 time=1.45 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=28 ttl=64 time=120 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=29 ttl=64 time=40.5 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=30 ttl=64 time=1.46 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=31 ttl=64 time=1.48 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=32 ttl=64 time=5.14 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=33 ttl=64 time=131 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=34 ttl=64 time=50.7 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=35 ttl=64 time=0.696 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=36 ttl=64 time=0.798 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=37 ttl=64 time=21.2 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=38 ttl=64 time=0.680 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=39 ttl=64 time=0.708 ms
