PING fe80::e6f8:9cff:fe4a:1285(fe80::e6f8:9cff:fe4a:1285) from fe80::e6f8:9cff:fe4a:1276 wlan0: 56 data bytes
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=1 ttl=64 time=3.83 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=2 ttl=64 time=3.88 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=3 ttl=64 time=3.92 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=4 ttl=64 time=3.89 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=5 ttl=64 time=3.91 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=6 ttl=64 time=3.89 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=7 ttl=64 time=3.81 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=8 ttl=64 time=3.82 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=9 ttl=64 time=189 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=10 ttl=64 time=2.61 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=11 ttl=64 time=2.56 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=12 ttl=64 time=55.4 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=13 ttl=64 time=65.7 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=14 ttl=64 time=404 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=15 ttl=64 time=2.60 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=16 ttl=64 time=2.55 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=17 ttl=64 time=1.81 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=18 ttl=64 time=1.67 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=19 ttl=64 time=1.83 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=20 ttl=64 time=1.94 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=21 ttl=64 time=253 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=22 ttl=64 time=7.87 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=23 ttl=64 time=94.5 ms
