PING fe80::e6f8:9cff:fe4a:1285(fe80::e6f8:9cff:fe4a:1285) from fe80::e6f8:9cff:fe4a:1276 wlan0: 56 data bytes
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=1 ttl=64 time=3.63 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=2 ttl=64 time=67.7 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=3 ttl=64 time=90.9 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=4 ttl=64 time=3.83 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=5 ttl=64 time=30.7 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=6 ttl=64 time=10.0 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=7 ttl=64 time=281 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=8 ttl=64 time=3.91 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=9 ttl=64 time=18.9 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=10 ttl=64 time=3.14 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=11 ttl=64 time=4.36 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=12 ttl=64 time=87.8 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=13 ttl=64 time=109 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=14 ttl=64 time=3.63 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=15 ttl=64 time=156 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=16 ttl=64 time=2.62 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=17 ttl=64 time=3.54 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=18 ttl=64 time=16.0 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=19 ttl=64 time=39.5 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=20 ttl=64 time=89.3 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=22 ttl=64 time=206 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=23 ttl=64 time=25.0 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=25 ttl=64 time=3.91 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=26 ttl=64 time=105 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=27 ttl=64 time=41.5 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=29 ttl=64 time=3.16 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=31 ttl=64 time=202 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=32 ttl=64 time=13.2 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=33 ttl=64 time=6.46 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=34 ttl=64 time=9.27 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=35 ttl=64 time=184 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=36 ttl=64 time=11.3 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=37 ttl=64 time=28.3 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=40 ttl=64 time=145 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=41 ttl=64 time=147 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=43 ttl=64 time=146 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=44 ttl=64 time=3.82 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=45 ttl=64 time=52.4 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=46 ttl=64 time=110 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=48 ttl=64 time=39.7 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=49 ttl=64 time=75.9 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=50 ttl=64 time=100 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=52 ttl=64 time=3.90 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=53 ttl=64 time=5.47 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=54 ttl=64 time=41.5 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=56 ttl=64 time=119 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=57 ttl=64 time=241 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=58 ttl=64 time=180 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=59 ttl=64 time=87.7 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=60 ttl=64 time=3.31 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=61 ttl=64 time=3.47 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=63 ttl=64 time=3.23 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=64 ttl=64 time=115 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=65 ttl=64 time=4.77 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=66 ttl=64 time=150 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=67 ttl=64 time=3.16 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=68 ttl=64 time=96.7 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=69 ttl=64 time=21.0 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=70 ttl=64 time=5.60 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=71 ttl=64 time=3.14 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=72 ttl=64 time=4.72 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=73 ttl=64 time=106 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=74 ttl=64 time=4.84 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=75 ttl=64 time=3.46 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=76 ttl=64 time=6.86 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=77 ttl=64 time=3.07 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=78 ttl=64 time=18.8 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=79 ttl=64 time=3.17 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=80 ttl=64 time=60.6 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=81 ttl=64 time=194 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=82 ttl=64 time=107 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=83 ttl=64 time=3.54 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=84 ttl=64 time=50.3 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=85 ttl=64 time=4.58 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=86 ttl=64 time=300 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=87 ttl=64 time=4.51 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=88 ttl=64 time=3.58 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=89 ttl=64 time=6.48 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=90 ttl=64 time=81.8 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=91 ttl=64 time=106 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=92 ttl=64 time=2.55 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=93 ttl=64 time=250 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=94 ttl=64 time=73.4 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=95 ttl=64 time=89.0 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=96 ttl=64 time=3.94 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=97 ttl=64 time=141 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=98 ttl=64 time=5.36 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=99 ttl=64 time=77.9 ms
