PING fe80::e6f8:9cff:fe4a:1285(fe80::e6f8:9cff:fe4a:1285) from fe80::e6f8:9cff:fe4a:1276 wlan0: 56 data bytes
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=1 ttl=64 time=5.32 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=2 ttl=64 time=30.8 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=3 ttl=64 time=3.93 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=4 ttl=64 time=3.86 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=5 ttl=64 time=3.95 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=6 ttl=64 time=23.0 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=7 ttl=64 time=44.8 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=8 ttl=64 time=62.5 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=9 ttl=64 time=85.5 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=10 ttl=64 time=4.12 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=11 ttl=64 time=2.58 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=12 ttl=64 time=2.61 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=13 ttl=64 time=74.0 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=14 ttl=64 time=2.52 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=15 ttl=64 time=14.3 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=16 ttl=64 time=138 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=17 ttl=64 time=58.9 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=18 ttl=64 time=81.3 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=19 ttl=64 time=2.97 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=20 ttl=64 time=128 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=21 ttl=64 time=1.81 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=22 ttl=64 time=70.3 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=23 ttl=64 time=195 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=24 ttl=64 time=1.78 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=25 ttl=64 time=1.57 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=26 ttl=64 time=1.46 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=27 ttl=64 time=78.0 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=28 ttl=64 time=1.58 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=29 ttl=64 time=1.45 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=30 ttl=64 time=1.46 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=31 ttl=64 time=1.54 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=32 ttl=64 time=189 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=33 ttl=64 time=1.07 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=34 ttl=64 time=31.6 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=35 ttl=64 time=54.1 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=36 ttl=64 time=0.690 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=37 ttl=64 time=1.19 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=38 ttl=64 time=0.692 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=39 ttl=64 time=351 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=40 ttl=64 time=170 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=41 ttl=64 time=0.731 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=42 ttl=64 time=0.671 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=43 ttl=64 time=1.07 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=44 ttl=64 time=0.998 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=45 ttl=64 time=85.0 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=46 ttl=64 time=4.59 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=47 ttl=64 time=27.6 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=48 ttl=64 time=48.4 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=49 ttl=64 time=0.992 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=50 ttl=64 time=0.989 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=51 ttl=64 time=0.993 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=52 ttl=64 time=137 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=53 ttl=64 time=1.62 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=54 ttl=64 time=1.07 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=55 ttl=64 time=1.42 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=56 ttl=64 time=0.984 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=57 ttl=64 time=0.659 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=58 ttl=64 time=0.854 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=59 ttl=64 time=197 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=60 ttl=64 time=15.6 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=61 ttl=64 time=1.29 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=62 ttl=64 time=0.681 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=63 ttl=64 time=0.657 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=64 ttl=64 time=0.664 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=65 ttl=64 time=1.47 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=66 ttl=64 time=0.660 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=67 ttl=64 time=1.79 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=68 ttl=64 time=1.60 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=69 ttl=64 time=7.20 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=70 ttl=64 time=5.39 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=71 ttl=64 time=2.50 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=72 ttl=64 time=191 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=73 ttl=64 time=1.03 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=74 ttl=64 time=31.2 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=75 ttl=64 time=1.07 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=76 ttl=64 time=74.6 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=77 ttl=64 time=98.2 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=78 ttl=64 time=1.12 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=79 ttl=64 time=40.1 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=80 ttl=64 time=1.17 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=81 ttl=64 time=0.986 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=82 ttl=64 time=1.00 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=83 ttl=64 time=28.6 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=84 ttl=64 time=253 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=85 ttl=64 time=0.605 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=86 ttl=64 time=107 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=87 ttl=64 time=118 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=88 ttl=64 time=139 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=89 ttl=64 time=1.07 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=90 ttl=64 time=1.02 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=91 ttl=64 time=3.83 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=92 ttl=64 time=24.7 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=93 ttl=64 time=1.05 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=94 ttl=64 time=5.32 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=95 ttl=64 time=90.6 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=96 ttl=64 time=1.01 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=97 ttl=64 time=1.03 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=98 ttl=64 time=1.05 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=99 ttl=64 time=182 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=100 ttl=64 time=102 ms

--- fe80::e6f8:9cff:fe4a:1285 ping statistics ---
100 packets transmitted, 100 received, 0% packet loss, time 99131ms
rtt min/avg/max/mdev = 0.605/39.926/351.314/65.946 ms
