0.0340854;0.0176546;0.0258932;0.0299841;0.0351082;0.0415654;0.341819;0.023;
0.0355874;0.0174928;0.0241527;0.0279407;0.033183;0.0443682;0.420328;0.047;
0.0304798;0.0173906;0.025355;0.0283793;0.0315774;0.0347621;0.224112;0.021;
0.0353833;0.0176849;0.0262847;0.0291733;0.0332073;0.0374271;0.331635;0.05;
0.0372877;0.0189053;0.0267748;0.0298739;0.0335127;0.0374375;0.530352;0.048;
0.0365929;0.0194246;0.0276267;0.0306486;0.0340432;0.038113;0.792651;0.044;
0.0380206;0.0205106;0.0281634;0.0314326;0.0348572;0.0383858;0.54438;0.049;
0.0342297;0.0215774;0.028553;0.0315346;0.0349271;0.0385848;0.240435;0.024;
0.0380652;0.0225364;0.0301205;0.0330382;0.0363743;0.0395862;0.400887;0.037;
0.0392006;0.0231163;0.030987;0.0344748;0.0382261;0.0426039;0.438116;0.039;
