PING fe80::e6f8:9cff:fe4a:1285(fe80::e6f8:9cff:fe4a:1285) from fe80::e6f8:9cff:fe4a:1276 wlan0: 56 data bytes
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=66 ttl=64 time=58.2 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=67 ttl=64 time=377 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=68 ttl=64 time=164 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=69 ttl=64 time=3.66 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=70 ttl=64 time=136 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=71 ttl=64 time=3.45 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=72 ttl=64 time=3.61 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=73 ttl=64 time=102 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=74 ttl=64 time=4.13 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=75 ttl=64 time=250 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=76 ttl=64 time=174 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=77 ttl=64 time=89.1 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=78 ttl=64 time=219 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=79 ttl=64 time=37.6 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=80 ttl=64 time=57.6 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=81 ttl=64 time=3.91 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=82 ttl=64 time=3.84 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=83 ttl=64 time=3.95 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=84 ttl=64 time=7.35 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=85 ttl=64 time=64.1 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=86 ttl=64 time=95.6 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=87 ttl=64 time=125 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=88 ttl=64 time=143 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=89 ttl=64 time=70.9 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=92 ttl=64 time=16.1 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=93 ttl=64 time=246 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=94 ttl=64 time=3.85 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=95 ttl=64 time=186 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=96 ttl=64 time=4.85 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=97 ttl=64 time=5.85 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=98 ttl=64 time=152 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=99 ttl=64 time=72.8 ms
64 bytes from fe80::e6f8:9cff:fe4a:1285: icmp_seq=100 ttl=64 time=3.92 ms

--- fe80::e6f8:9cff:fe4a:1285 ping statistics ---
100 packets transmitted, 94 received, 6% packet loss, time 99160ms
rtt min/avg/max/mdev = 3.452/70.788/377.851/84.577 ms
