2mTisch;1000;0.0267309;0.00926004;0.0207008;0.0210334;0.0214548;0.0311197;0.541257;0;0.999;0;0;
2mTisch;1000;0.0326715;0.0108512;0.0211827;0.0214794;0.0220089;0.0318155;0.828531;0.1;0.052;0;0;
2mTisch;1000;0.0291092;0.0117399;0.0220692;0.0223393;0.0229013;0.0325003;0.419674;0.1;0.042;0;0;
2mTisch;1000;0.033971;0.0167922;0.0230395;0.0235105;0.033252;0.0435381;0.430993;0.1;0.041;0;0;
2mTisch;1000;0.035318;0.0149017;0.0233089;0.0237028;0.0332982;0.0342256;0.800171;0.1;0.058;0;0;
4mEcke;1000;0.036823;0.0184745;0.0237158;0.0241858;0.0338766;0.0351977;1.36535;0.1;0.052;0;0;
4mEcke;1000;0.0360827;0.018176;0.0246006;0.0252729;0.0348774;0.0356135;0.565815;0.1;0.048;0;0;
4mEcke;1000;0.035451;0.0215015;0.0250618;0.0257342;0.0352833;0.0362146;0.62744;0.1;0.042;0;0;
4mEcke;1000;0.0364933;0.0243166;0.0254779;0.0277461;0.0357828;0.0369481;0.6476;0.1;0.046;0;0;
4mEcke;1000;0.0490424;0.0232839;0.0324749;0.0361233;0.046052;0.0964724;0.435617;0.1;0.092;0;0;
6mTuer;1000;0.0394336;0.0258831;0.0276014;0.0371488;0.0377611;0.0384211;0.446007;0.1;0.044;0;0;
6mTuer;1000;0.0465685;0.0269527;0.0288144;0.037925;0.03936;0.0781085;0.332463;0.1;0.07;0;0;
6mTuer;1000;0.0481228;0.0272839;0.0375792;0.038272;0.0391525;0.0688658;0.619737;0.1;0.073;0;0;
6mTuer;1000;0.0469139;0.0263094;0.038028;0.0387489;0.040132;0.0590509;0.374728;0.1;0.06;0;0;
6mTuer;1000;0.0467734;0.0270461;0.0386061;0.0391219;0.0397531;0.0589007;0.460153;0.1;0.057;0;0;
6mTuerUmEcke;1000;0.0471383;0.0289799;0.0394434;0.0399962;0.0408521;0.0503415;0.631593;0.1;0.051;0;0;
6mTuerUmEcke;1000;0.0484076;0.0290294;0.0399273;0.0404326;0.0411928;0.0513346;0.457523;0.1;0.06;0;0;
6mTuerUmEcke;1000;0.0500462;0.0297878;0.0403353;0.0408404;0.0421302;0.0607372;0.449711;0.1;0.063;0;0;
6mTuerUmEcke;1000;0.0489012;0.02998;0.0406767;0.0412406;0.0421871;0.0607897;0.400701;0.1;0.057;0;0;
6mTuerUmEcke;1000;0.0497804;0.0304841;0.0411758;0.0416584;0.0456521;0.0579801;0.387667;0.1;0.052;0;0;
8mNachServerraum;1000;0.0511625;0.0320852;0.0423398;0.0428013;0.0440901;0.0530208;0.531137;0.1;0.055;0;0;
8mNachServerraum;1000;0.0527519;0.033463;0.043036;0.0435443;0.0443267;0.0533703;0.610734;0.1;0.06;0;0;
8mNachServerraum;1000;0.0532892;0.0340009;0.0434037;0.0439469;0.0447362;0.0538871;0.344048;0.1;0.063;0;0;
8mNachServerraum;1000;0.0512717;0.038028;0.0438573;0.0443694;0.0450958;0.0541035;0.502608;0.1;0.043;0;0;
11mNachServerr2;1000;0.0575693;0.0433688;0.0445072;0.0453759;0.054501;0.0642317;0.445634;0.1;0.059;0;0;
11mNachServerr2;1000;0.0536984;0.043836;0.0448829;0.0456438;0.0547294;0.0553984;0.462954;0.1;0.043;0;0;
11mNachServerr2;1000;0.0593338;0.0438482;0.0459095;0.0551174;0.0556913;0.0651274;0.603618;0.1;0.063;0;0;
11mNachServerr2;1000;0.061056;0.0449593;0.0461626;0.0504191;0.0560367;0.065943;0.76063;0.1;0.076;0;0;
11mNachServerr2;1000;0.0611652;0.045424;0.0466497;0.0558947;0.0564475;0.0582597;0.820304;0.1;0.07;0;0;
13mEcke;1000;0.0682719;0.0461292;0.0563653;0.0570615;0.066866;0.10754;0.772515;0.1;0.101;0;0;
13mEcke;1000;0.0703869;0.0465404;0.0568168;0.0574146;0.067036;0.108872;0.720057;0.1;0.11;0;0;
13mEcke;1000;0.0700838;0.0472836;0.0577732;0.0582399;0.0596393;0.0883674;0.654567;0.1;0.086;0;0;
13mEcke;1000;0.0747545;0.0480204;0.0586713;0.0591001;0.0689367;0.130433;0.673839;0.1;0.126;0;0;
13mEcke;1000;0.0716905;0.0484984;0.0589475;0.0595065;0.0686181;0.0788552;1.65314;0.1;0.076;0;0;
testingmultihop;1000;;0.0467732;0.0180958;0.0212887;0.0310349;0.0315526;0.0415432;4.72525;10;0;5;0.005;
